complaint_text,category,subcategory,department,urgency
Broken pipeline flooding Sanjay Nagar,Water,Leakage,Water Supply Department,Medium
Brown water supply in Sector 15,Water,Quality,Water Quality Department,Medium
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Medium
No electricity supply since morning in Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,High
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Low
Footpath tiles missing at Old Market,Road,Footpath,Urban Development Department,Low
Drain blocked and water pooling at Rajiv Chowk,Water,Waterlogging,Drainage Department,Medium
Power outage reported in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Electricity failure since last night in Sanjay Nagar,Electricity,PowerCut,Electricity Distribution Department,Medium
Water not safe for drinking in Rajiv Chowk,Water,Quality,Water Quality Department,High
Dirty tap water with foul smell in Civil Lines,Water,Quality,Water Quality Department,High
Broken public restroom at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Red light not functioning in Civil Lines,Road,TrafficSignal,Traffic Management Department,High
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Uneven street causing accidents at Sanjay Nagar,Road,Potholes,Public Works Department,Medium
No electricity supply since morning in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Garbage not collected at Sanjay Nagar for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken footpath in MG Road,Road,Footpath,Urban Development Department,Low
Signal damaged at Rajiv Chowk junction,Road,TrafficSignal,Traffic Management Department,High
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Medium
No electricity supply since morning in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Uneven street causing accidents at MG Road,Road,Potholes,Public Works Department,Medium
Traffic signal not working at Rajiv Chowk,Road,TrafficSignal,Traffic Management Department,High
Red light not functioning in Rajiv Chowk,Road,TrafficSignal,Traffic Management Department,High
Broken footpath in Civil Lines,Road,Footpath,Urban Development Department,Low
Flickering light pole at MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Public toilet in MG Road not cleaned,Sanitation,PublicToilet,Public Health Department,Medium
Large potholes on Rajiv Chowk highway,Road,Potholes,Public Works Department,Low
Large potholes on Sector 15 highway,Road,Potholes,Public Works Department,Medium
Brown water supply in MG Road,Water,Quality,Water Quality Department,High
Multiple potholes in MG Road,Road,Potholes,Public Works Department,Low
Damaged lane surface near Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Pipeline leaking on highway at MG Road,Water,Leakage,Water Supply Department,High
No electricity supply since morning in Civil Lines,Electricity,PowerCut,Electricity Distribution Department,High
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Damaged street surface near Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,Medium
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Water not safe for drinking in Old Market,Water,Quality,Water Quality Department,High
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken footpath in Old Market,Road,Footpath,Urban Development Department,Low
Garbage not collected at Old Market for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Trash scattered around Old Market,Sanitation,Garbage,Municipal Sanitation Department,Medium
Damaged street surface near Old Market,Road,Potholes,Public Works Department,Medium
Rainwater accumulation at Sanjay Nagar,Water,Waterlogging,Drainage Department,Medium
Unsafe sidewalk at Old Market,Road,Footpath,Urban Development Department,Medium
Flickering light pole at Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Clogged drain near Sanjay Nagar,Sanitation,Sewage,Drainage and Sewerage Department,High
Unsafe sidewalk at Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Damaged road surface near Old Market,Road,Potholes,Public Works Department,Medium
Water not safe for drinking in MG Road,Water,Quality,Water Quality Department,High
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Uneven highway causing accidents at Sanjay Nagar,Road,Potholes,Public Works Department,Low
Pipeline leaking on street at Sanjay Nagar,Water,Leakage,Water Supply Department,High
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Pipeline leaking on street at Sector 15,Water,Leakage,Water Supply Department,High
Streetlight not working at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Multiple potholes in Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Pipeline leaking on street at MG Road,Water,Leakage,Water Supply Department,High
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Uneven road causing accidents at Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Open sewage causing bad smell in Old Market,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,Medium
Signal broken at MG Road junction,Road,TrafficSignal,Traffic Management Department,High
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,Medium
Clogged drain near Sanjay Nagar,Sanitation,Sewage,Drainage and Sewerage Department,Medium
No proper pavement in Sector 15,Road,Footpath,Urban Development Department,Low
Dark area due to faulty streetlights at Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
Complete blackout at Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,Medium
Broken pipeline flooding MG Road,Water,Leakage,Water Supply Department,Medium
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Broken footpath in Old Market,Road,Footpath,Urban Development Department,Low
Multiple potholes in Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Signal faulty at MG Road junction,Road,TrafficSignal,Traffic Management Department,High
Blocked manhole in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,High
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Defective traffic signal in Sanjay Nagar,Road,TrafficSignal,Traffic Management Department,High
Garbage not collected at Civil Lines for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Sewage water overflowing at Civil Lines,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,High
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Signal broken at Old Market junction,Road,TrafficSignal,Traffic Management Department,High
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Brown water supply in MG Road,Water,Quality,Water Quality Department,High
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Medium
Waterlogging after heavy rain in Sector 15,Water,Waterlogging,Drainage Department,Medium
Defective traffic signal in MG Road,Road,TrafficSignal,Traffic Management Department,Medium
Trash scattered around Civil Lines,Sanitation,Garbage,Municipal Sanitation Department,Low
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Garbage not collected at Civil Lines for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken footpath in Old Market,Road,Footpath,Urban Development Department,Medium
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,Medium
Footpath tiles missing at Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Damaged lane surface near Old Market,Road,Potholes,Public Works Department,Medium
Signal broken at MG Road junction,Road,TrafficSignal,Traffic Management Department,High
Damaged highway surface near Sector 15,Road,Potholes,Public Works Department,Low
Pipeline leaking on highway at MG Road,Water,Leakage,Water Supply Department,Medium
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Underground pipe burst at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Broken electric wires lying in Civil Lines,Electricity,Wiring,Electrical Safety Department,Medium
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Dirty tap water with foul smell in Sanjay Nagar,Water,Quality,Water Quality Department,Medium
Waterlogging after heavy rain in Sanjay Nagar,Water,Waterlogging,Drainage Department,Low
Severe water leakage in MG Road,Water,Leakage,Water Supply Department,High
Broken pipeline flooding Sector 15,Water,Leakage,Water Supply Department,Medium
Large potholes on Old Market highway,Road,Potholes,Public Works Department,Low
Waterlogging after heavy rain in Civil Lines,Water,Waterlogging,Drainage Department,Medium
Trash scattered around Rajiv Chowk,Sanitation,Garbage,Municipal Sanitation Department,Medium
Footpath tiles missing at Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Lamp post cracked in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Lamp post broken in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Lamp post broken in Sector 15,Electricity,Streetlight,Municipal Lighting Department,Low
Power outage reported in Sanjay Nagar,Electricity,PowerCut,Electricity Distribution Department,Medium
Dirty tap water with foul smell in Sanjay Nagar,Water,Quality,Water Quality Department,High
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,High
No proper pavement in Civil Lines,Road,Footpath,Urban Development Department,Low
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Foul smell from toilet at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Low
Large potholes on Sector 15 street,Road,Potholes,Public Works Department,Medium
Large potholes on Old Market road,Road,Potholes,Public Works Department,Medium
Unsafe sidewalk at Civil Lines,Road,Footpath,Urban Development Department,Low
Large potholes on Rajiv Chowk road,Road,Potholes,Public Works Department,Low
Traffic signal not working at Old Market,Road,TrafficSignal,Traffic Management Department,High
Uneven lane causing accidents at Civil Lines,Road,Potholes,Public Works Department,Low
Overflowing dustbins in Old Market,Sanitation,Garbage,Municipal Sanitation Department,Medium
Dark area due to faulty streetlights at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Low
Damaged street surface near Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Trash scattered around Sanjay Nagar,Sanitation,Garbage,Municipal Sanitation Department,Medium
Large potholes on Rajiv Chowk lane,Road,Potholes,Public Works Department,Low
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Low
Trash scattered around Rajiv Chowk,Sanitation,Garbage,Municipal Sanitation Department,Low
Exposed live wire near MG Road,Electricity,Wiring,Electrical Safety Department,High
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
